document,field,gold_state,gold_derivation,value_cited,value_page,value_span,value_bbox,value_support,value_localized,evidence_available,evidence_read,evidence_state,evidence_value,evidence_support,verify_available,verify_support,verify_note,pipeline_joint
sds_01.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_01.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_01.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_01.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_01.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_01.pdf,molecular_weight,NOT_APPLICABLE,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_01.pdf,flash_point,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_02.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_02.pdf,supplier_name,PRESENT,EXPLICIT,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_02.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_02.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_02.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_02.pdf,molecular_weight,NOT_APPLICABLE,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_03.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_03.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_03.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_03.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_03.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_03.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_03.pdf,flash_point,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_04.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_04.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_04.pdf,substance_or_mixture,PRESENT,COMPOSITION_IMPLIED,True,violated,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,composition establishes SUBSTANCE,yes
sds_04.pdf,product_cas_number,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_04.pdf,chemical_formula,PRESENT,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,False,n/a,n/a,n/a,True,violated,value does not occur in the cited span,no
sds_04.pdf,molecular_weight,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_04.pdf,flash_point,NOT_APPLICABLE,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_05.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_05.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_05.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_05.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_05.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_05.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,yes
sds_05.pdf,flash_point,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,satisfied,satisfied,True,satisfied,,yes
sds_06.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,violated,satisfied,True,satisfied,,no
sds_06.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,violated,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_06.pdf,flash_point,NOT_APPLICABLE,EXPLICIT,False,n/a,n/a,n/a,n/a,False,False,False,n/a,n/a,n/a,False,n/a,,no
sds_07.pdf,product_name,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_07.pdf,supplier_name,PRESENT,EXPLICIT,True,satisfied,satisfied,satisfied,satisfied,True,True,True,satisfied,violated,satisfied,True,satisfied,,no
sds_07.pdf,substance_or_mixture,PRESENT,EXPLICIT,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,,no
sds_07.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
sds_07.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,True,satisfied,satisfied,violated,satisfied,False,True,True,satisfied,satisfied,satisfied,True,satisfied,premise establishes MIXTURE,no
