document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_01.pdf,product_name,PRESENT,PRESENT,REDUR AD 04,REDUR AD 04,EXPLICIT,DIRECT,,,direct,1,,Product identifier: REDUR AD 04,,satisfied,satisfied,violated,violated,violated,satisfied,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,no citation,
sds_01.pdf,supplier_name,PRESENT,PRESENT,SECILTEK SA,SECILTEK SA,EXPLICIT,DIRECT,,,direct,1,,Details of the supplier of the safety data sheet: SECILTEK SA,,satisfied,satisfied,violated,violated,violated,satisfied,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,no citation,
sds_01.pdf,substance_or_mixture,PRESENT,NOT_APPLICABLE,MIXTURE,,EXPLICIT,DERIVED,,composition_implies_form,direct,1,3,Chemical description: Mixture of substances | Substance: Non-applicable,3.1 Substance: Non-applicable | 3.2 Mixture: Chemical description: Mixture of substances,violated,violated,violated,violated,violated,violated,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,False,58.6,False,0.0,True,False,none,citation is not verbatim,"cited quote does not occur verbatim on the cited page; gold is direct, prediction is derived"
sds_01.pdf,product_cas_number,NOT_APPLICABLE,NOT_STATED,,,EXPLICIT,DIRECT,,,direct,1,,Substance: Non-applicable,,violated,satisfied,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_01.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,1,3,Chemical description: Mixture of substances | Substance: Non-applicable,3.1 Substance: Non-applicable | 3.2 Mixture: Chemical description: Mixture of substances,satisfied,satisfied,violated,violated,violated,satisfied,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,False,58.6,False,0.0,True,False,none,citation is not verbatim,cited quote does not occur verbatim on the cited page
sds_01.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,4,3,Average molecular weight: Not relevant,3.1 Substance: Non-applicable | 3.2 Mixture: Chemical description: Mixture of substances,satisfied,satisfied,violated,violated,violated,violated,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,False,58.6,False,0.0,True,False,none,citation is not verbatim,"cited quote does not occur verbatim on the cited page; gold is direct, prediction is derived"
sds_01.pdf,flash_point,PRESENT,PRESENT,Non Flammable (>60 ºC),Non Flammable (>60 ºC),EXPLICIT,DIRECT,,,direct,5,,Flash Point: Non Flammable (>60 ºC),,satisfied,satisfied,violated,violated,violated,satisfied,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,no citation,
sds_02.pdf,product_name,PRESENT,PRESENT,Lithium ion rechargeable battery cell,Lithium ion rechargeable battery cell (including lithium polymer battery),EXPLICIT,DIRECT,,,direct,3,,Product name: Lithium ion rechargeable battery cell,,satisfied,violated,violated,violated,violated,satisfied,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,no citation,
sds_02.pdf,supplier_name,PRESENT,PRESENT,"Panasonic Energy Co., Ltd.","Panasonic Energy Co., Ltd.",EXPLICIT,DIRECT,,,direct,3,,"Company name: Panasonic Energy Co., Ltd.",,satisfied,satisfied,violated,violated,violated,satisfied,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,no citation,
sds_02.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,PREPARATION,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,4,1,Substance or preparation: Preparation,"This product is an  | article | used with the contents sealed. Therefore, issuing and providing SDS is not },{",satisfied,violated,violated,violated,violated,violated,violated,0.0000,0.0000,0.00,0.0000,0.0000,0.00,False,88.9,False,0.0,True,False,none,citation is not verbatim,"cited quote does not occur verbatim on the cited page; gold is direct, prediction is derived"
