document,field,gold_state,gold_derivation,gold_value,value_exact_native,value_exact_ocr,value_typed_native,value_typed_ocr,value_fuzzy_native,value_fuzzy_ocr,value_located_native,value_located_ocr,value_located_pages_native,value_located_pages_ocr,value_on_gold_page_native,value_on_gold_page_ocr,span_exact_native,span_exact_ocr,span_fuzzy_ocr,note
sds_21.pdf,product_name,PRESENT,EXPLICIT,"HYDROQUINONE, CRYSTAL",yes,yes,yes,yes,yes,yes,yes,yes,1,1,yes,yes,yes,yes,yes,
sds_21.pdf,supplier_name,PRESENT,EXPLICIT,Spectrum Chemical Mfg. Corp.,yes,yes,yes,yes,yes,yes,yes,yes,1,1,yes,yes,yes,yes,yes,
sds_21.pdf,substance_or_mixture,PRESENT,EXPLICIT,SUBSTANCE,yes,yes,yes,yes,yes,yes,yes,yes,2;5;7;8;9,2;5;7;8;9,yes,yes,yes,yes,yes,
sds_21.pdf,product_cas_number,PRESENT,EXPLICIT,123-31-9,yes,yes,yes,yes,yes,yes,yes,yes,2;4;6;7;8;9,2;4;6;7;8;9,yes,yes,yes,no,no,gold span missing from ocr
sds_21.pdf,chemical_formula,NOT_STATED,ABSENT,,,,,,,,,,,,,,,,,
sds_21.pdf,molecular_weight,NO_DATA,EXPLICIT,,,,,,,,,,,,,,yes,yes,yes,
sds_21.pdf,flash_point,PRESENT,EXPLICIT,165 °C / 329 °F,yes,yes,yes,yes,yes,yes,yes,yes,5,5,yes,yes,yes,yes,yes,
sds_21.pdf,ingredient_cas:123-31-9,PRESENT,EXPLICIT,123-31-9,yes,yes,yes,yes,yes,yes,yes,yes,2;4;6;7;8;9,2;4;6;7;8;9,yes,yes,yes,no,no,gold span missing from ocr
sds_22.pdf,product_name,PRESENT,EXPLICIT,MEDAPROTECT,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;2;3;5;6;9;10;12;13;14,yes,yes,yes,yes,yes,
sds_22.pdf,supplier_name,PRESENT,EXPLICIT,MEDALKAN,yes,yes,yes,yes,yes,yes,yes,yes,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14,yes,yes,yes,yes,yes,
sds_22.pdf,substance_or_mixture,PRESENT,EXPLICIT,MIXTURE,yes,yes,yes,yes,yes,yes,yes,yes,1;2;4;6;7;11;13,1;2;4;6;7;11;13,yes,yes,yes,yes,yes,
sds_22.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,,,,,,,,,,,,,,yes,yes,yes,
sds_22.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,,,,,,,,,,,,,,yes,yes,yes,
sds_22.pdf,molecular_weight,NOT_APPLICABLE,ONTOLOGY,,,,,,,,,,,,,,yes,yes,yes,
sds_22.pdf,flash_point,NO_DATA,EXPLICIT,,,,,,,,,,,,,,yes,yes,yes,
sds_22.pdf,ingredient_cas:2372-82-9,PRESENT,EXPLICIT,2372-82-9,yes,yes,yes,yes,yes,yes,yes,yes,3;8,3,yes,yes,yes,no,no,gold span missing from ocr
sds_22.pdf,ingredient_cas:7173-51-5,PRESENT,EXPLICIT,7173-51-5,yes,yes,yes,yes,yes,yes,yes,yes,3;8,3,yes,yes,yes,no,no,gold span missing from ocr
sds_22.pdf,ingredient_cas:69011-36-5,PRESENT,EXPLICIT,69011-36-5,yes,no,yes,yes,yes,yes,yes,no,3;8,,yes,no,yes,no,no,value not locatable in ocr; gold span missing from ocr
sds_22.pdf,ingredient_cas:67-63-0,PRESENT,EXPLICIT,67-63-0,yes,yes,yes,yes,yes,yes,yes,yes,3;5;8;9,3;5;9,yes,yes,yes,no,no,gold span missing from ocr
sds_22.pdf,ingredient_cas:84625-32-1,PRESENT,EXPLICIT,84625-32-1,yes,yes,yes,yes,yes,yes,yes,yes,3,3,yes,yes,yes,no,no,gold span missing from ocr
sds_23.pdf,product_name,PRESENT,EXPLICIT,(S)-AL 8810,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;4;5;6;7,1;2;6;7,yes,yes,yes,yes,yes,
sds_23.pdf,supplier_name,PRESENT,EXPLICIT,Cayman Chemical Co.,yes,yes,yes,yes,yes,yes,yes,yes,1,1,yes,yes,yes,yes,yes,
sds_23.pdf,substance_or_mixture,PRESENT,EXPLICIT,SUBSTANCE,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;5;6,1;2;3;5;6,yes,yes,yes,yes,yes,
sds_23.pdf,product_cas_number,PRESENT,EXPLICIT,1224444-55-6,yes,yes,yes,yes,yes,yes,yes,yes,1;2,1;2,yes,yes,yes,yes,yes,
sds_23.pdf,chemical_formula,PRESENT,EXPLICIT,C24H31O4F,yes,no,yes,no,yes,no,yes,no,4,,yes,no,yes,no,yes,value not locatable in ocr; gold span missing from ocr
sds_23.pdf,molecular_weight,PRESENT,EXPLICIT,402.5 g/mol,yes,yes,no,no,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_23.pdf,flash_point,NOT_APPLICABLE,EXPLICIT,,,,,,,,,,,,,,yes,yes,yes,
sds_23.pdf,ingredient_cas:1224444-55-6,PRESENT,EXPLICIT,1224444-55-6,yes,yes,yes,yes,yes,yes,yes,yes,1;2,1;2,yes,yes,yes,yes,yes,
sds_24.pdf,product_name,PRESENT,EXPLICIT,824,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;4;5;6;7;8;9;10;11;12,1;2;3;4;5;6;7;8;9;10;11;12,yes,yes,yes,yes,yes,
sds_24.pdf,supplier_name,PRESENT,EXPLICIT,MG Chemicals (Head Office),yes,yes,yes,yes,yes,yes,yes,yes,1,1,yes,yes,yes,yes,yes,
