document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_21.pdf,product_name,PRESENT,NOT_STATED,"HYDROQUINONE, CRYSTAL",,EXPLICIT,DIRECT,,,direct,1,,"Product Name HYDROQUINONE, CRYSTAL",,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,supplier_name,PRESENT,NOT_STATED,Spectrum Chemical Mfg. Corp.,,EXPLICIT,DIRECT,,,direct,1,,Supplier Address Spectrum Chemical Mfg. Corp.,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,substance_or_mixture,PRESENT,NOT_STATED,SUBSTANCE,,EXPLICIT,DIRECT,,,direct,2,,3. Composition/information on ingredients Substance,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,product_cas_number,PRESENT,NOT_STATED,123-31-9,,EXPLICIT,DIRECT,,,direct,2,,Hydroquinone 123-31-9 100,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,chemical_formula,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_21.pdf,molecular_weight,NO_DATA,NOT_STATED,,,EXPLICIT,DIRECT,,,direct,5,,Molecular weight No information available,,violated,satisfied,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_21.pdf,flash_point,PRESENT,NOT_STATED,165 °C / 329 °F,,EXPLICIT,DIRECT,,,direct,5,,Flash point 165 °C / 329 °F,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_22.pdf,product_name,PRESENT,PRESENT,MEDAPROTECT,MEDAPROTECT 1.2 Relevant identified uses of the substance or mixture and uses,EXPLICIT,DIRECT,,,direct,1,1,Trade name: MEDAPROTECT,Trade name: MEDAPROTECT 1.2 Relevant identified uses of the substance or mixture and uses,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.2143,4.67,0.9784,0.1532,6.36,True,0.0,False,0.925,True,False,system,,
sds_22.pdf,supplier_name,PRESENT,PRESENT,MEDALKAN,"Manufacturer/Supplier: MEDALKAN Michalakopoulou 102, P.C. 11528, Athens, Greece",EXPLICIT,DIRECT,,,direct,1,1,Manufacturer/Supplier: MEDALKAN,"Details of the supplier of the safety data sheet Manufacturer/Supplier: MEDALKAN Michalakopoulou 102, P.C. 11528, Athens, Greece",satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.1176,8.50,0.9961,0.2266,4.39,True,0.0,False,0.8979,True,False,system,,
sds_22.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,,
sds_22.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,
sds_22.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,2,2,3.2 Mixtures | Description: Mixture: consisting of the following components.,3.2 Mixtures,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,1.0000,1.0000,1.00,0.7429,0.7429,0.74,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,
