document,field,gold_state,gold_derivation,gold_value,value_exact_native,value_exact_ocr,value_typed_native,value_typed_ocr,value_fuzzy_native,value_fuzzy_ocr,value_located_native,value_located_ocr,value_located_pages_native,value_located_pages_ocr,value_on_gold_page_native,value_on_gold_page_ocr,span_exact_native,span_exact_ocr,span_fuzzy_ocr,note
sds_01.pdf,product_name,PRESENT,EXPLICIT,REDUR AD 04,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;4;5;6;7;8;9,1;2;3;4;5;6;7;8;9,yes,yes,yes,yes,yes,
sds_01.pdf,supplier_name,PRESENT,EXPLICIT,SECILTEK SA,yes,yes,yes,yes,yes,yes,yes,yes,1,1,yes,yes,yes,yes,yes,
sds_01.pdf,substance_or_mixture,PRESENT,EXPLICIT,MIXTURE,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;6;8,1;2;3;6;8,yes,yes,yes,yes,yes,
sds_01.pdf,product_cas_number,NOT_APPLICABLE,EXPLICIT,,,,,,,,,,,,,,yes,yes,yes,
sds_01.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,,,,,,,,,,,,,,yes,yes,yes,
sds_01.pdf,molecular_weight,NOT_APPLICABLE,EXPLICIT,,,,,,,,,,,,,,yes,yes,yes,
sds_01.pdf,flash_point,PRESENT,EXPLICIT,Non Flammable (>60 ºC),yes,yes,no,no,yes,yes,yes,yes,5,5,yes,yes,yes,yes,yes,
sds_02.pdf,product_name,PRESENT,EXPLICIT,Lithium ion rechargeable battery cell,yes,yes,yes,yes,yes,yes,yes,yes,3;6,3;6,yes,yes,yes,yes,yes,
sds_02.pdf,supplier_name,PRESENT,EXPLICIT,"Panasonic Energy Co., Ltd.",yes,yes,yes,yes,yes,yes,yes,yes,1;3;7,1;3,yes,yes,yes,yes,yes,
sds_02.pdf,substance_or_mixture,PRESENT,EXPLICIT,MIXTURE,no,no,no,no,no,no,no,no,,,no,no,yes,yes,yes,value not locatable in native; value not locatable in ocr
sds_02.pdf,product_cas_number,NOT_APPLICABLE,ONTOLOGY,,,,,,,,,,,,,,yes,yes,yes,
sds_02.pdf,chemical_formula,NOT_APPLICABLE,ONTOLOGY,,,,,,,,,,,,,,yes,yes,yes,
sds_02.pdf,molecular_weight,NOT_APPLICABLE,EXPLICIT,,,,,,,,,,,,,,yes,no,yes,gold span missing from ocr
sds_02.pdf,flash_point,NOT_STATED,ABSENT,,,,,,,,,,,,,,,,,
sds_02.pdf,ingredient_cas:12190-79-3,PRESENT,EXPLICIT,12190-79-3,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:12031-65-1,PRESENT,EXPLICIT,12031-65-1,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:12057-17-9,PRESENT,EXPLICIT,12057-17-9,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:182442-95-1,PRESENT,EXPLICIT,182442-95-1,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:207803-51-8,PRESENT,EXPLICIT,207803-51-8,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:7429-90-5,PRESENT,EXPLICIT,7429-90-5,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:7782-42-5,PRESENT,EXPLICIT,7782-42-5,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:7440-44-0,PRESENT,EXPLICIT,7440-44-0,yes,no,yes,no,yes,no,yes,no,4,,yes,no,yes,no,no,value not locatable in ocr; gold span missing from ocr
sds_02.pdf,ingredient_cas:7440-50-8,PRESENT,EXPLICIT,7440-50-8,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:623-53-0,PRESENT,EXPLICIT,623-53-0,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:105-58-8,PRESENT,EXPLICIT,105-58-8,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:96-49-1,PRESENT,EXPLICIT,96-49-1,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:21324-40-3,PRESENT,EXPLICIT,21324-40-3,yes,yes,yes,yes,yes,yes,yes,yes,4,4,yes,yes,yes,yes,yes,
sds_02.pdf,ingredient_cas:7439-89-6,PRESENT,EXPLICIT,7439-89-6,yes,no,yes,no,yes,no,yes,no,4,,yes,no,yes,no,no,value not locatable in ocr; gold span missing from ocr
sds_03.pdf,product_name,PRESENT,EXPLICIT,STYCCOBOND F49 BASE,yes,yes,yes,yes,yes,yes,yes,yes,1;2;3;4;5;6;7;8;9;10;11,1;3;4;5;6;9;10;11,yes,yes,yes,yes,yes,
sds_03.pdf,supplier_name,PRESENT,EXPLICIT,F. Ball and Co. Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,1,1,yes,yes,yes,yes,yes,
