document,field,gold_state,predicted_state,gold_value,predicted_value,gold_derivation,predicted_derivation,gold_rule,predicted_rule,evidence_role,gold_pages,predicted_page,gold_evidence,predicted_evidence,state,value,page,span,bbox,derivation,support,span_coverage,span_iou,span_dilution,bbox_coverage,bbox_iou,bbox_dilution,verbatim,verbatim_fuzzy_score,joint_correct,confidence,gold_requires_evidence,gold_ambiguous,bbox_provenance,support_note,note
sds_01.pdf,product_name,PRESENT,PRESENT,REDUR AD 04,REDUR AD 04 Other means of identification: UFI: MY90-10UT-4008-K1J7 1.2 Relevant identified,EXPLICIT,DIRECT,,,direct,1,1,Product identifier: REDUR AD 04,Product identifier: REDUR AD 04 Other means of identification: UFI: MY90-10UT-4008-K1J7 1.2 Relevant identified,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3571,2.80,1.0000,0.1468,6.81,True,0.0,False,0.9,True,False,system,,
sds_01.pdf,supplier_name,PRESENT,PRESENT,SECILTEK SA,SECILTEK SA,EXPLICIT,DIRECT,,,direct,1,1,Details of the supplier of the safety data sheet: SECILTEK SA,Details of the supplier of the safety data sheet: SECILTEK SA,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.85,True,False,system,,
sds_01.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,1,1,Chemical description: Mixture of substances | Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,,
sds_01.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,1,1,Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,violated,violated,violated,satisfied,0.0000,0.0000,2.50,0.0000,0.0000,1.34,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,"gold is direct, prediction is derived"
sds_01.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,1,1,Chemical description: Mixture of substances | Substance: Non-applicable,Chemical description: Mixture of substances,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_01.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DIRECT,,,direct,4,4,Average molecular weight: Not relevant,Average molecular weight: Not relevant SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES 9.1 Information on basic,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3333,3.00,1.0000,0.1273,7.85,True,0.0,False,0.9,True,False,system,,
sds_01.pdf,flash_point,PRESENT,NOT_APPLICABLE,Non Flammable (>60 ºC),,EXPLICIT,DIRECT,,,direct,5,5,Flash Point: Non Flammable (>60 ºC),"Flash Point: Non Flammable (>60 ºC) Flammability (solid, gas): Not relevant * Autoignition temperature:",violated,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.4286,2.33,1.0000,0.2600,3.85,True,0.0,False,0.9,True,False,system,,
sds_02.pdf,product_name,PRESENT,PRESENT,Lithium ion rechargeable battery cell,Lithium ion rechargeable battery (including lithium polymer battery),EXPLICIT,DIRECT,,,direct,3,1,Product name: Lithium ion rechargeable battery cell,Product name: Lithium ion rechargeable battery (including lithium polymer battery),satisfied,violated,violated,violated,violated,satisfied,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.9,True,False,system,,
sds_02.pdf,supplier_name,PRESENT,PRESENT,"Panasonic Energy Co., Ltd.","Panasonic Energy Co., Ltd",EXPLICIT,DIRECT,,,direct,3,1,"Company name: Panasonic Energy Co., Ltd.","Manufacturer: Panasonic Energy Co., Ltd.",satisfied,satisfied,violated,violated,violated,satisfied,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.85,True,False,system,,
sds_02.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,4,4,Substance or preparation: Preparation, Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,1.0000,0.9612,1.04,True,0.0,True,0.8,True,False,system,,
sds_02.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,4,4,Substance or preparation: Preparation, Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,1.0000,0.9612,1.04,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_02.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,4,4,Substance or preparation: Preparation, Substance or preparation: Preparation,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8000,1.25,1.0000,0.9612,1.04,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_02.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DIRECT,,,direct,5,5,Molecular Weight : N/A,Molecular Weight N/A Solubility : N/A pH : N/A Viscosity : N/A Other Information,satisfied,satisfied,satisfied,violated,violated,satisfied,violated,1.0000,0.2727,3.67,1.0000,0.1962,5.10,False,97.5,False,0.9,True,False,system,citation is not verbatim,cited quote does not occur verbatim on the cited page
sds_02.pdf,flash_point,NOT_STATED,NOT_STATED,,,ABSENT,DIRECT,,,direct,,,,,satisfied,satisfied,n/a,n/a,n/a,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,True,0.0,False,False,none,,
sds_03.pdf,product_name,PRESENT,NOT_APPLICABLE,STYCCOBOND F49 BASE,,EXPLICIT,DIRECT,,,direct,1,1,Product identifier: STYCCOBOND F49 BASE,Product identifier: STYCCOBOND F49 BASE Other means of identification: Not relevant 1.2 Relevant identified,violated,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.3571,2.80,1.0000,0.1712,5.84,True,0.0,False,0.9,True,False,system,,
sds_03.pdf,supplier_name,PRESENT,PRESENT,F. Ball and Co. Ltd.,F. Ball and Co. Ltd. Churnetside Business Park,EXPLICIT,DIRECT,,,direct,1,1,Details of the supplier of the safety data sheet: F. Ball and Co. Ltd.,"Details of the supplier of the safety data sheet: F. Ball and Co. Ltd. Churnetside Business Park,",satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,0.8235,1.21,1.0000,0.7079,1.41,True,0.0,False,0.85,True,False,system,,
sds_03.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,"1,2",2,"Chemical description: Mixture of polymers, dispersants and organic compounds | Substance: Non-applicable","Chemical description: Mixture of polymers, dispersants and organic compounds",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,,
sds_03.pdf,product_cas_number,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DERIVED,,identifier_undefined_for_form,direct,1,2,Substance: Non-applicable,"Chemical description: Mixture of polymers, dispersants and organic compounds",satisfied,satisfied,violated,violated,violated,violated,satisfied,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.8,True,False,system,premise establishes MIXTURE,"gold is direct, prediction is derived"
sds_03.pdf,chemical_formula,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,"1,2",2,"Chemical description: Mixture of polymers, dispersants and organic compounds | Substance: Non-applicable","Chemical description: Mixture of polymers, dispersants and organic compounds",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_03.pdf,molecular_weight,NOT_APPLICABLE,NOT_APPLICABLE,,,ONTOLOGY,DERIVED,identifier_undefined_for_form,identifier_undefined_for_form,premise,"1,2",2,"Chemical description: Mixture of polymers, dispersants and organic compounds | Substance: Non-applicable","Chemical description: Mixture of polymers, dispersants and organic compounds",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,premise establishes MIXTURE,
sds_03.pdf,flash_point,PRESENT,NOT_APPLICABLE,Non Flammable (>60 ºC),,EXPLICIT,DIRECT,,,direct,6,6,Flash Point: Non Flammable (>60 ºC),"Flash Point: Non Flammable (>60 ºC) Flammability (solid, gas): Not relevant * Autoignition temperature:",violated,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.4286,2.33,1.0000,0.2600,3.85,True,0.0,False,0.9,True,False,system,,
sds_04.pdf,product_name,PRESENT,PRESENT,R-134a,"R-134a OTHER NAME: 1,1,1,2-Tetrafluoroethane USE: Refrigerant Gas DISTRIBUTOR: National Refrigerants, Inc. 661",EXPLICIT,DIRECT,,,direct,1,1,PRODUCT NAME: R-134a,"PRODUCT NAME: R-134a OTHER NAME: 1,1,1,2-Tetrafluoroethane USE: Refrigerant Gas DISTRIBUTOR: National Refrigerants, Inc. 661",satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.2143,4.67,1.0000,0.1239,8.07,True,0.0,False,0.9,True,False,system,,
sds_04.pdf,supplier_name,PRESENT,PRESENT,"National Refrigerants, Inc.","National Refrigerants, Inc",EXPLICIT,DIRECT,,,direct,1,1,"DISTRIBUTOR: National Refrigerants, Inc.","DISTRIBUTOR: National Refrigerants, Inc.",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.85,True,False,system,,
sds_04.pdf,substance_or_mixture,PRESENT,PRESENT,SUBSTANCE,SUBSTANCE,COMPOSITION_IMPLIED,DERIVED,composition_implies_form,composition_implies_form,premise,2,2,"1,1,1,2-Tetrafluoroethane 811-97-2 100 | There are no impurities or stabilizers that contribute to the classification of the material identified in Section 2","1,1,1,2-Tetrafluoroethane 811-97-2 100",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.5,True,False,system,composition establishes SUBSTANCE,
sds_04.pdf,product_cas_number,PRESENT,PRESENT,811-97-2,811-97-2,EXPLICIT,DIRECT,,,direct,2,2,"1,1,1,2-Tetrafluoroethane 811-97-2 100","CAS NUMBER WEIGHT % 1,1,1,2-Tetrafluoroethane 811-97-2 100 COMMON NAME AND SYNONYMS R-134a; HFC134a There",satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.0000,0.2143,4.67,1.0000,0.1320,7.58,True,0.0,False,0.9,True,False,system,,
sds_04.pdf,chemical_formula,PRESENT,NOT_STATED,F3CCH2F,,EXPLICIT,DIRECT,,,direct,4,,CHEMICAL FORMULA: F3CCH2 F,,violated,violated,violated,violated,violated,n/a,n/a,0.0000,0.0000,0.00,0.0000,0.0000,0.00,True,0.0,False,0.0,True,False,none,,
sds_04.pdf,molecular_weight,PRESENT,PRESENT,102,102 CHEMICAL FORMULA: F3CCH2 F ODOR: Faint ethereal odor SPECIFIC GRAVITY (water,EXPLICIT,DIRECT,,,direct,4,4,MOLECULAR WEIGHT: 102,MOLECULAR WEIGHT: 102 CHEMICAL FORMULA: F3CCH2 F ODOR: Faint ethereal odor SPECIFIC GRAVITY (water,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,1.0000,0.2143,4.67,1.0000,0.1750,5.71,True,0.0,False,0.9,True,False,system,,
sds_04.pdf,flash_point,NOT_APPLICABLE,NOT_APPLICABLE,,,EXPLICIT,DIRECT,,,direct,"2,5",2,"FLASH POINT: Gas, not applicable per DOT regulations | FLASH POINT: Not applicable","FLASH POINT: Gas, not applicable per DOT regulations",satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.9,True,False,system,,
sds_05.pdf,product_name,PRESENT,PRESENT,MOBIL SHC PM 220,MOBIL SHC PM 220 Revision Date: 24 Feb 2021 Revision Number: 1.11,EXPLICIT,DIRECT,,,direct,1,1,Product Name: MOBIL SHC PM 220 | Product Name: MOBIL SHC PM 220,Product Name: MOBIL SHC PM 220 Revision Date: 24 Feb 2021 Revision Number: 1.11,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,1.0000,0.4286,2.33,1.0000,0.3706,2.70,True,0.0,False,0.9,True,False,system,,
sds_05.pdf,supplier_name,PRESENT,PRESENT,ExxonMobil Petroleum & Chemical BV,ExxonMobil Petroleum & Chemical BV POLDERDIJKWEG B-2030 Antwerpen,EXPLICIT,DIRECT,,,direct,1,1,Supplier: ExxonMobil Petroleum & Chemical BV,Supplier: ExxonMobil Petroleum & Chemical BV POLDERDIJKWEG B-2030 Antwerpen,satisfied,violated,satisfied,satisfied,violated,satisfied,satisfied,1.0000,0.6667,1.50,1.0000,0.3505,2.85,True,0.0,False,0.85,True,False,system,,
sds_05.pdf,substance_or_mixture,PRESENT,PRESENT,MIXTURE,MIXTURE,EXPLICIT,DIRECT,,,direct,2,2,3.1. SUBSTANCES Not Applicable. This material is regulated as a mixture. | This material is defined as a mixture.,3.1. SUBSTANCES Not Applicable. This material is regulated as a mixture.,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,1.0000,1.0000,1.00,1.0000,1.0000,1.00,True,0.0,True,0.8,True,False,system,,
